path,class_name,class_enum
k/kitchen/sun_alxwcasrmjjvgonp.jpg,/k/kitchen,14
t/tennis_court/outdoor/sun_bdubcdpvrnymmmog.jpg,/t/tennis_court/outdoor,21
c/cottage_garden/sun_ayzjcevriycodchg.jpg,/c/cottage_garden,13
o/orchard/sun_blmlpefjfuplwgvb.jpg,/o/orchard,13
f/forest_path/sun_avyadttzmrpzncnd.jpg,/f/forest_path,12
r/restaurant_patio/sun_azudlcycazrwumad.jpg,/r/restaurant_patio,6
b/bedroom/sun_avmftvngepurgobg.jpg,/b/bedroom,14
b/boat_deck/sun_akphpwrlvqenjrnk.jpg,/b/boat_deck,18
w/wave/sun_bterpeveyqaigcgx.jpg,/w/wave,24
b/baggage_claim/sun_aumfxgrkrjdhepav.jpg,/b/baggage_claim,0
r/racecourse/sun_ajsudsmcikbrfxwd.jpg,/r/racecourse,21
m/mountain/sun_aeowlstgpkupmtrs.jpg,/m/mountain,15
b/bathroom/sun_amppupofnobgmmut.jpg,/b/bathroom,14
k/kitchen/sun_amtjxsanqdidbljy.jpg,/k/kitchen,14
c/car_interior/backseat/sun_ayylysipxalaivvc.jpg,/c/car_interior/backseat,7
b/botanical_garden/sun_arwggericatmehwm.jpg,/b/botanical_garden,13
a/art_school/sun_ajtwcssefcwayage.jpg,/a/art_school,1
l/living_room/sun_advhgcwelntbpwaa.jpg,/l/living_room,14
d/dining_room/sun_bgiorgzesddrldeh.jpg,/d/dining_room,6
b/bowling_alley/sun_aodwbcuotnlkdkar.jpg,/b/bowling_alley,22
s/sky/sun_aczjsyhtqawbyyer.jpg,/s/sky,20
h/house/sun_bqztzahmlbprbihv.jpg,/h/house,5
g/greenhouse/indoor/sun_bpqtrmsjhogoopid.jpg,/g/greenhouse/indoor,11
k/kitchen/sun_ampccyesshguiynu.jpg,/k/kitchen,14
s/shopfront/sun_bkipjtvukkfutxek.jpg,/s/shopfront,19
w/wheat_field/sun_axdvumowuqnphglz.jpg,/w/wheat_field,11
b/brewery/indoor/sun_batzrypuqhqreizd.jpg,/b/brewery/indoor,10
c/corral/sun_aqbpuzgzmcxthlja.jpg,/c/corral,11
a/alley/sun_aclevpihnmwhznms.jpg,/a/alley,22
b/boat_deck/sun_aucqgwujptmamhgh.jpg,/b/boat_deck,18
w/waterfall/plunge/sun_acozymcnvvcvkadg.jpg,/w/waterfall/plunge,24
r/restaurant/sun_ayfdrxbdaicwmijk.jpg,/r/restaurant,6
c/childs_room/sun_avjlpxugzeqpjeir.jpg,/c/childs_room,14
o/ocean/sun_apzhoxlsnvvagmuy.jpg,/o/ocean,24
s/stadium/football/sun_bqywjrmaubuqqkhv.jpg,/s/stadium/football,21
l/living_room/sun_aluicmsgplpmvuar.jpg,/l/living_room,14
u/underwater/coral_reef/sun_ajbwpfcsdmoaykhw.jpg,/u/underwater/coral_reef,24
l/living_room/sun_bbuzujdspkuvjeon.jpg,/l/living_room,14
c/creek/sun_amkpuxeawqehwpsp.jpg,/c/creek,24
a/arch/sun_ajdwkaznxovwulbh.jpg,/a/arch,2
a/arrival_gate/outdoor/sun_adswiveesclbirth.jpg,/a/arrival_gate/outdoor,0
s/skyscraper/sun_batosgnavpexpxhd.jpg,/s/skyscraper,5
h/harbor/sun_ajxdhotzyzizamoq.jpg,/h/harbor,24
d/diner/indoor/sun_aazttdnpairpynau.jpg,/d/diner/indoor,6
m/mosque/outdoor/sun_bceflkwzhsziytln.jpg,/m/mosque/outdoor,8
k/kitchen/sun_abxcbboqmegyjmav.jpg,/k/kitchen,14
m/music_store/sun_dmtppfpizgirzjrp.jpg,/m/music_store,19
c/church/outdoor/sun_bdejqjcmaaijonjd.jpg,/c/church/outdoor,8
r/restaurant_patio/sun_auubgudelgjrhpoh.jpg,/r/restaurant_patio,6
a/alley/sun_acitqkdwcschzwxz.jpg,/a/alley,22
k/kitchen/sun_atrnubcapzameqsv.jpg,/k/kitchen,14
o/office_building/sun_bjivcrjnbvpdkawf.jpg,/o/office_building,5
d/driveway/sun_afudugyztowdivlf.jpg,/d/driveway,16
b/basketball_court/outdoor/sun_alreddiaisfkqqhj.jpg,/b/basketball_court/outdoor,21
b/butchers_shop/sun_ansudhgziobwvzof.jpg,/b/butchers_shop,19
c/car_interior/backseat/sun_adqwvrwkybijqqbk.jpg,/c/car_interior/backseat,7
a/alley/sun_amiavmypgbcruflq.jpg,/a/alley,22
h/highway/sun_bvvykthuszatouwd.jpg,/h/highway,16
b/bazaar/outdoor/sun_blufucueluzcbpos.jpg,/b/bazaar/outdoor,19
c/casino/indoor/sun_azyzebzdyvmelcju.jpg,/c/casino/indoor,9
l/living_room/sun_bxawxnsgkovdjkto.jpg,/l/living_room,14
b/beauty_salon/sun_atjjalgedyognjhs.jpg,/b/beauty_salon,19
c/canal/urban/sun_bkpygjbxsvafzxvq.jpg,/c/canal/urban,23
t/tower/sun_aoqaavwfyrosjutk.jpg,/t/tower,5
i/islet/sun_aysousswhclpkvax.jpg,/i/islet,15
c/casino/indoor/sun_avopjwywoxabbhab.jpg,/c/casino/indoor,9
b/balcony/interior/sun_bbkxokzuypgosoks.jpg,/b/balcony/interior,5
c/corn_field/sun_adrmpadoqujwfsgn.jpg,/c/corn_field,11
c/carrousel/sun_aaunsuurwrdhwxeq.jpg,/c/carrousel,9
l/living_room/sun_brqsplluzadlziqg.jpg,/l/living_room,14
