path,class_name,class_enum
l/living_room/sun_buqhudkagyzwriny.jpg,home,14
h/house/sun_bkyhdrcirsadbwwp.jpg,building,5
a/abbey/sun_atbfmxobuunazgxl.jpg,church,8
c/candy_store/sun_avblwsznlpoodgfq.jpg,shopping,19
b/ball_pit/sun_akbkflhkgzrvmvfd.jpg,sport,21
f/forest_path/sun_amfrwzukzwsywfas.jpg,forest,12
i/ice_cream_parlor/sun_dnsrgcqlazfqznhf.jpg,cafe,6
b/bedroom/sun_auwocavlqhwtnosw.jpg,home,14
o/orchard/sun_aybtydcgkgmwzkqq.jpg,garden,13
b/bar/sun_axatjzdwharpypui.jpg,bar,3
t/tower/sun_apebozyhtxqmddxt.jpg,building,5
f/field/cultivated/sun_ajphszytbenkwbti.jpg,farming,11
r/restaurant_kitchen/sun_alitjfixhiroroja.jpg,cafe,6
s/supermarket/sun_arxrjmmanuqgkgnk.jpg,shopping,19
g/golf_course/sun_akqesljoypfqyjdc.jpg,sport,21
b/bedroom/sun_afshqxviytorhehm.jpg,home,14
b/building_facade/sun_asnlgwznoxtplyki.jpg,building,5
g/general_store/outdoor/sun_bhzpmlsgxzymuums.jpg,shopping,19
c/church/outdoor/sun_adeswvknmztfugsa.jpg,church,8
m/market/outdoor/sun_ayuwfiacebjmcnxm.jpg,shopping,19
d/dining_room/sun_beqjqiuomrqyitxg.jpg,cafe,6
i/iceberg/sun_ajfsgrvpaipqelgk.jpg,nature,15
c/casino/indoor/sun_avcvttvpovzrtxya.jpg,entertainment,9
r/rainforest/sun_arhmrrqgucgexibg.jpg,forest,12
b/beach/sun_bwepbruziftwtnph.jpg,beach,4
m/market/outdoor/sun_anixfzhchjwscqpc.jpg,shopping,19
w/watering_hole/sun_boabdievxbvihqvz.jpg,water,24
k/kitchen/sun_aodaiikynmojyovt.jpg,home,14
m/mosque/outdoor/sun_aoabiwbzfeljtmfi.jpg,church,8
s/swimming_pool/outdoor/sun_abpvlgbljrdehmes.jpg,sport,21
k/kitchen/sun_ajvklpmjherjgxrt.jpg,home,14
r/restaurant_patio/sun_axxiddasdiitktei.jpg,cafe,6
h/highway/sun_appxttpeqpsbfonu.jpg,road,16
r/restaurant/sun_bipppqmpfhznmwcw.jpg,cafe,6
s/shed/sun_badxzuidxpdezbdj.jpg,farming,11
d/desert/vegetation/sun_byainrcnfmckmvrv.jpg,nature,15
c/cloister/indoor/sun_alipsdjmnmdawcdt.jpg,church,8
f/forest_path/sun_agwpwlpprbqhbvyo.jpg,forest,12
b/bedroom/sun_auughjjvdywmepko.jpg,home,14
b/bamboo_forest/sun_atuorrasyxhrtzdl.jpg,forest,12
s/ski_resort/sun_axzmnrldjeunajmx.jpg,sport,21
s/shed/sun_bjmhpynwssulykww.jpg,farming,11
s/shopping_mall/indoor/sun_ahzlnvspdyrvjbtm.jpg,shopping,19
l/living_room/sun_bvzllwreqrgmeixa.jpg,home,14
f/forest_road/sun_ahrvjlwmdttbfjcg.jpg,forest,12
c/church/outdoor/sun_blbnmmakwdacxoex.jpg,church,8
o/orchard/sun_akemaosleeevhlwm.jpg,garden,13
c/clothing_store/sun_atxeuzsgicowzycc.jpg,shopping,19
a/abbey/sun_atzshyxltozkwxks.jpg,church,8
b/butchers_shop/sun_ashapuhlsyfhqguu.jpg,shopping,19
g/gymnasium/indoor/sun_anpmxumahspwbtxi.jpg,sport,21
r/rainforest/sun_agcfctbkefnoasmy.jpg,forest,12
w/wheat_field/sun_abhtevkqhuyreloq.jpg,farming,11
s/shopfront/sun_bkzplmxhqavviutt.jpg,shopping,19
c/childs_room/sun_altpkylhctlopunn.jpg,home,14
b/bazaar/indoor/sun_aenxbzjaajzygcmg.jpg,shopping,19
g/golf_course/sun_aljophkbqeqvcdgx.jpg,sport,21
s/snowfield/sun_bckhfypetduakrib.jpg,nature,15
c/creek/sun_adsunhjbjigdthxa.jpg,water,24
m/market/outdoor/sun_ajclwhgfpsawxeyy.jpg,shopping,19
i/ice_shelf/sun_bbmyxzisyxvafulb.jpg,nature,15
c/canyon/sun_aoynbjkebmfifolc.jpg,nature,15
l/living_room/sun_biseyqumugzcdbjz.jpg,home,14
o/oil_refinery/outdoor/sun_bgrqezteutcjldef.jpg,factory,10
c/chicken_coop/outdoor/sun_awjawwihsinprtgn.jpg,farming,11
l/library/indoor/sun_bwvivmhduwyxehzj.jpg,science,17
s/sandbar/sun_ciyfczhelszcxfwd.jpg,nature,15
k/kitchen/sun_amstpwyljnixuvqh.jpg,home,14
l/living_room/sun_btsalkacynpevhvr.jpg,home,14
w/wheat_field/sun_awrekxtqflndfckw.jpg,farming,11
m/mountain_snowy/sun_bofakjvzflfwxapl.jpg,nature,15
s/shopping_mall/indoor/sun_bkbrnuttzyjsxwmk.jpg,shopping,19
a/abbey/sun_awzqxzqukmbujwzm.jpg,church,8
d/dining_room/sun_bsaihvtxtybllouf.jpg,cafe,6
l/living_room/sun_arafivcpstddakic.jpg,home,14
c/coast/sun_aoeariethnuuvfqu.jpg,water,24
s/squash_court/sun_anpwwdgivqydnwac.jpg,sport,21
m/music_store/sun_dnzqavjcslyiawbd.jpg,shopping,19
